,FileName,Time Recorded,Tool bounding box,Phase
0,191S1__00000.jpg,0.03,"[{'class': 'skinholder', 'xmin': 153, 'xmax': 414, 'ymin': 493, 'ymax': 647}, {'class': 'skinholder', 'xmin': 1249, 'xmax': 1679, 'ymin': 205, 'ymax': 316}, {'class': 'skinholder', 'xmin': 1458, 'xmax': 1851, 'ymin': 1010, 'ymax': 1078}, {'class': 'iris', 'xmin': 771, 'xmax': 1413, 'ymin': 362, 'ymax': 1072}]",Nothing
1,191S1__00001.jpg,0.07,[],Nothing
2,191S1__00002.jpg,0.1,[],Nothing
3,191S1__00003.jpg,0.14,[],Nothing
4,191S1__00004.jpg,0.17,[],Nothing
5,191S1__00005.jpg,0.2,[],Nothing
6,191S1__00006.jpg,0.24,[],Nothing
7,191S1__00007.jpg,0.27,[],Nothing
8,191S1__00008.jpg,0.31,[],Nothing
9,191S1__00009.jpg,0.34,[],Nothing
10,191S1__00010.jpg,0.38,"[{'class': 'skinholder', 'xmin': 1249, 'xmax': 1679, 'ymin': 215, 'ymax': 325}, {'class': 'skinholder', 'xmin': 1488, 'xmax': 1851, 'ymin': 1023, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 150, 'xmax': 412, 'ymin': 505, 'ymax': 659}, {'class': 'iris', 'xmin': 770, 'xmax': 1412, 'ymin': 381, 'ymax': 1078}]",Nothing
11,191S1__00011.jpg,0.41,[],Nothing
12,191S1__00012.jpg,0.44,[],Nothing
13,191S1__00013.jpg,0.48,[],Nothing
14,191S1__00014.jpg,0.51,[],Nothing
15,191S1__00015.jpg,0.55,[],Nothing
16,191S1__00016.jpg,0.58,[],Nothing
17,191S1__00017.jpg,0.62,[],Nothing
18,191S1__00018.jpg,0.65,[],Nothing
19,191S1__00019.jpg,0.69,[],Nothing
20,191S1__00020.jpg,0.72,"[{'class': 'skinholder', 'xmin': 1249, 'xmax': 1679, 'ymin': 215, 'ymax': 325}, {'class': 'skinholder', 'xmin': 1488, 'xmax': 1851, 'ymin': 1023, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 150, 'xmax': 412, 'ymin': 505, 'ymax': 659}, {'class': 'iris', 'xmin': 772, 'xmax': 1413, 'ymin': 361, 'ymax': 1068}]",Nothing
21,191S1__00021.jpg,0.75,[],Nothing
22,191S1__00022.jpg,0.79,[],Nothing
23,191S1__00023.jpg,0.82,[],Nothing
24,191S1__00024.jpg,0.86,[],Nothing
25,191S1__00025.jpg,0.89,[],Nothing
26,191S1__00026.jpg,0.92,[],Nothing
27,191S1__00027.jpg,0.96,[],Nothing
28,191S1__00028.jpg,0.99,[],Nothing
29,191S1__00029.jpg,1.03,[],Nothing
30,191S1__00030.jpg,1.06,"[{'class': 'skinholder', 'xmin': 1249, 'xmax': 1679, 'ymin': 215, 'ymax': 325}, {'class': 'skinholder', 'xmin': 1488, 'xmax': 1851, 'ymin': 1023, 'ymax': 1078}, {'class': 'iris', 'xmin': 766, 'xmax': 1408, 'ymin': 373, 'ymax': 1069}, {'class': 'skinholder', 'xmin': 146, 'xmax': 407, 'ymin': 508, 'ymax': 663}]",Nothing
31,191S1__00031.jpg,1.1,[],Nothing
32,191S1__00032.jpg,1.13,[],Nothing
33,191S1__00033.jpg,1.16,[],Nothing
34,191S1__00034.jpg,1.2,[],Nothing
35,191S1__00035.jpg,1.23,[],Nothing
36,191S1__00036.jpg,1.27,[],Nothing
37,191S1__00037.jpg,1.3,[],Nothing
38,191S1__00038.jpg,1.34,[],Nothing
39,191S1__00039.jpg,1.37,[],Nothing
