,FileName,Time Recorded,Tool bounding box,Phase
0,191R2__00000.jpg,0.03,"[{'class': 'iris', 'xmin': 485, 'xmax': 1212, 'ymin': 313, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1351, 'xmax': 1721, 'ymin': 80, 'ymax': 180}, {'class': 'skinholder', 'xmin': 0, 'xmax': 425, 'ymin': 176, 'ymax': 250}]",Nothing
1,191R2__00001.jpg,0.07,[],Nothing
2,191R2__00002.jpg,0.1,[],Nothing
3,191R2__00003.jpg,0.14,[],Nothing
4,191R2__00004.jpg,0.17,[],Nothing
5,191R2__00005.jpg,0.2,[],Nothing
6,191R2__00006.jpg,0.24,[],Nothing
7,191R2__00007.jpg,0.27,[],Nothing
8,191R2__00008.jpg,0.31,[],Nothing
9,191R2__00009.jpg,0.34,[],Nothing
10,191R2__00010.jpg,0.38,"[{'class': 'skinholder', 'xmin': 1351, 'xmax': 1721, 'ymin': 62, 'ymax': 162}, {'class': 'skinholder', 'xmin': 7, 'xmax': 432, 'ymin': 146, 'ymax': 220}, {'class': 'iris', 'xmin': 478, 'xmax': 1190, 'ymin': 291, 'ymax': 1036}]",Nothing
11,191R2__00011.jpg,0.41,[],Nothing
12,191R2__00012.jpg,0.44,[],Nothing
13,191R2__00013.jpg,0.48,[],Nothing
14,191R2__00014.jpg,0.51,[],Nothing
15,191R2__00015.jpg,0.55,[],Nothing
16,191R2__00016.jpg,0.58,[],Nothing
17,191R2__00017.jpg,0.62,[],Nothing
18,191R2__00018.jpg,0.65,[],Nothing
19,191R2__00019.jpg,0.69,[],Nothing
20,191R2__00020.jpg,0.72,"[{'class': 'skinholder', 'xmin': 1, 'xmax': 426, 'ymin': 164, 'ymax': 238}, {'class': 'skinholder', 'xmin': 1351, 'xmax': 1746, 'ymin': 62, 'ymax': 162}, {'class': 'iris', 'xmin': 479, 'xmax': 1191, 'ymin': 302, 'ymax': 1047}]",Nothing
21,191R2__00021.jpg,0.75,[],Nothing
22,191R2__00022.jpg,0.79,[],Nothing
23,191R2__00023.jpg,0.82,[],Nothing
24,191R2__00024.jpg,0.86,[],Nothing
25,191R2__00025.jpg,0.89,[],Nothing
26,191R2__00026.jpg,0.92,[],Nothing
27,191R2__00027.jpg,0.96,[],Nothing
28,191R2__00028.jpg,0.99,[],Nothing
29,191R2__00029.jpg,1.03,[],Nothing
30,191R2__00030.jpg,1.06,"[{'class': 'skinholder', 'xmin': 0, 'xmax': 427, 'ymin': 167, 'ymax': 249}, {'class': 'skinholder', 'xmin': 1353, 'xmax': 1748, 'ymin': 73, 'ymax': 173}, {'class': 'iris', 'xmin': 490, 'xmax': 1202, 'ymin': 302, 'ymax': 1047}]",Nothing
31,191R2__00031.jpg,1.1,[],Nothing
32,191R2__00032.jpg,1.13,[],Nothing
33,191R2__00033.jpg,1.16,[],Nothing
34,191R2__00034.jpg,1.2,[],Nothing
35,191R2__00035.jpg,1.23,[],Nothing
36,191R2__00036.jpg,1.27,[],Nothing
37,191R2__00037.jpg,1.3,[],Nothing
38,191R2__00038.jpg,1.34,[],Nothing
39,191R2__00039.jpg,1.37,[],Nothing
40,191R2__00040.jpg,1.4,"[{'class': 'skinholder', 'xmin': 3, 'xmax': 433, 'ymin': 176, 'ymax': 275}, {'class': 'iris', 'xmin': 501, 'xmax': 1213, 'ymin': 312, 'ymax': 1057}, {'class': 'skinholder', 'xmin': 1363, 'xmax': 1758, 'ymin': 77, 'ymax': 178}]",Nothing
41,191R2__00041.jpg,1.44,[],Nothing
42,191R2__00042.jpg,1.47,[],Nothing
43,191R2__00043.jpg,1.51,[],Nothing
44,191R2__00044.jpg,1.54,[],Nothing
45,191R2__00045.jpg,1.58,[],Nothing
46,191R2__00046.jpg,1.61,[],Nothing
47,191R2__00047.jpg,1.64,[],Nothing
48,191R2__00048.jpg,1.68,[],Nothing
49,191R2__00049.jpg,1.71,[],Nothing
50,191R2__00050.jpg,1.75,"[{'class': 'skinholder', 'xmin': 1357, 'xmax': 1752, 'ymin': 73, 'ymax': 173}, {'class': 'skinholder', 'xmin': 0, 'xmax': 430, 'ymin': 150, 'ymax': 250}, {'class': 'iris', 'xmin': 493, 'xmax': 1212, 'ymin': 303, 'ymax': 1048}]",Nothing
51,191R2__00051.jpg,1.78,[],Nothing
52,191R2__00052.jpg,1.81,[],Nothing
53,191R2__00053.jpg,1.85,[],Nothing
54,191R2__00054.jpg,1.88,[],Nothing
55,191R2__00055.jpg,1.92,[],Nothing
56,191R2__00056.jpg,1.95,[],Nothing
57,191R2__00057.jpg,1.99,[],Nothing
58,191R2__00058.jpg,2.02,[],Nothing
59,191R2__00059.jpg,2.05,[],Nothing
60,191R2__00060.jpg,2.09,"[{'class': 'iris', 'xmin': 487, 'xmax': 1206, 'ymin': 287, 'ymax': 1042}, {'class': 'skinholder', 'xmin': 0, 'xmax': 407, 'ymin': 137, 'ymax': 237}, {'class': 'skinholder', 'xmin': 1353, 'xmax': 1748, 'ymin': 51, 'ymax': 152}]",Nothing
61,191R2__00061.jpg,2.12,[],Nothing
62,191R2__00062.jpg,2.16,[],Nothing
63,191R2__00063.jpg,2.19,[],Nothing
