,FileName,Time Recorded,Tool bounding box,Phase
0,191S4__00000.jpg,0.03,"[{'class': 'skinholder', 'xmin': 1588, 'xmax': 1918, 'ymin': 1002, 'ymax': 1078}, {'class': 'iris', 'xmin': 665, 'xmax': 1278, 'ymin': 354, 'ymax': 1033}, {'class': 'skinholder', 'xmin': 227, 'xmax': 655, 'ymin': 989, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 196, 'xmax': 702, 'ymin': 99, 'ymax': 187}, {'class': 'skinholder', 'xmin': 1728, 'xmax': 1918, 'ymin': 173, 'ymax': 268}]",Nothing
1,191S4__00001.jpg,0.07,[],Nothing
2,191S4__00002.jpg,0.1,[],Nothing
3,191S4__00003.jpg,0.14,[],Nothing
4,191S4__00004.jpg,0.17,[],Nothing
5,191S4__00005.jpg,0.2,[],Nothing
6,191S4__00006.jpg,0.24,[],Nothing
7,191S4__00007.jpg,0.27,[],Nothing
8,191S4__00008.jpg,0.31,[],Nothing
9,191S4__00009.jpg,0.34,[],Nothing
10,191S4__00010.jpg,0.38,"[{'class': 'skinholder', 'xmin': 229, 'xmax': 736, 'ymin': 51, 'ymax': 140}, {'class': 'skinholder', 'xmin': 246, 'xmax': 718, 'ymin': 929, 'ymax': 1078}, {'class': 'iris', 'xmin': 691, 'xmax': 1303, 'ymin': 289, 'ymax': 968}, {'class': 'skinholder', 'xmin': 1608, 'xmax': 1918, 'ymin': 969, 'ymax': 1059}, {'class': 'skinholder', 'xmin': 1764, 'xmax': 1918, 'ymin': 130, 'ymax': 225}]",Nothing
11,191S4__00011.jpg,0.41,[],Nothing
12,191S4__00012.jpg,0.44,[],Nothing
13,191S4__00013.jpg,0.48,[],Nothing
14,191S4__00014.jpg,0.51,[],Nothing
15,191S4__00015.jpg,0.55,[],Nothing
16,191S4__00016.jpg,0.58,[],Nothing
17,191S4__00017.jpg,0.62,[],Nothing
18,191S4__00018.jpg,0.65,[],Nothing
19,191S4__00019.jpg,0.69,[],Nothing
20,191S4__00020.jpg,0.72,"[{'class': 'skinholder', 'xmin': 246, 'xmax': 595, 'ymin': 1041, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 207, 'xmax': 713, 'ymin': 141, 'ymax': 249}, {'class': 'skinholder', 'xmin': 1750, 'xmax': 1917, 'ymin': 223, 'ymax': 318}, {'class': 'iris', 'xmin': 673, 'xmax': 1285, 'ymin': 415, 'ymax': 1078}]",Nothing
21,191S4__00021.jpg,0.75,[],Nothing
22,191S4__00022.jpg,0.79,[],Nothing
23,191S4__00023.jpg,0.82,[],Nothing
24,191S4__00024.jpg,0.86,[],Nothing
25,191S4__00025.jpg,0.89,[],Nothing
26,191S4__00026.jpg,0.92,[],Nothing
27,191S4__00027.jpg,0.96,[],Nothing
28,191S4__00028.jpg,0.99,[],Nothing
29,191S4__00029.jpg,1.03,[],Nothing
